ipaddr DST_IP,ipaddr SRC_IP,uint64 BYTES,uint64 BYTES_REV,uint64 LINK_BIT_FIELD,time TIME_FIRST,time TIME_LAST,macaddr DST_MAC,macaddr SRC_MAC,uint32 PACKETS,uint32 PACKETS_REV,uint16 DST_PORT,uint16 SRC_PORT,uint8 DIR_BIT_FIELD,uint8 PROTOCOL,uint8 TCP_FLAGS,uint8 TCP_FLAGS_REV,int8* PPI_PKT_DIRECTIONS,uint8* PPI_PKT_FLAGS,uint16* PPI_PKT_LENGTHS,time* PPI_PKT_TIMES
10.0.42.10,10.0.42.155,106,106,1,2021-02-04T22:32:59.658645,2021-02-04T22:32:59.659655,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,2,4242,35478,0,6,24,24,[1|-1|-1|1],[24|16|24|16],[2|0|2|0],[2021-02-04T22:32:59.658645|2021-02-04T22:32:59.658926|2021-02-04T22:32:59.659109|2021-02-04T22:32:59.659655]
10.0.42.155,10.0.42.10,66,52,1,2021-02-04T22:33:31.790423,2021-02-04T22:33:31.791140,52:54:00:40:74:8e,52:54:00:2d:18:d3,1,1,35478,4242,0,6,24,16,[1|-1],[24|16],[14|0],[2021-02-04T22:33:31.790423|2021-02-04T22:33:31.791140]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T22:34:01.802575,2021-02-04T22:34:01.803507,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,35478,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T22:34:01.802575|2021-02-04T22:34:01.802875|2021-02-04T22:34:01.803507]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T22:35:01.826583,2021-02-04T22:35:01.827809,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,35478,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T22:35:01.826583|2021-02-04T22:35:01.826902|2021-02-04T22:35:01.827809]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T22:36:01.850424,2021-02-04T22:36:01.850859,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,35478,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T22:36:01.850424|2021-02-04T22:36:01.850624|2021-02-04T22:36:01.850859]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T22:37:01.874365,2021-02-04T22:37:01.874933,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,35478,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T22:37:01.874365|2021-02-04T22:37:01.874551|2021-02-04T22:37:01.874933]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T22:38:01.898263,2021-02-04T22:38:01.898690,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,35478,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T22:38:01.898263|2021-02-04T22:38:01.898449|2021-02-04T22:38:01.898690]
