ipaddr DST_IP,ipaddr SRC_IP,uint64 BYTES,uint64 BYTES_REV,uint64 LINK_BIT_FIELD,time TIME_FIRST,time TIME_LAST,macaddr DST_MAC,macaddr SRC_MAC,uint32 PACKETS,uint32 PACKETS_REV,uint16 DST_PORT,uint16 SRC_PORT,uint8 DIR_BIT_FIELD,uint8 PROTOCOL,uint8 TCP_FLAGS,uint8 TCP_FLAGS_REV,int8* PPI_PKT_DIRECTIONS,uint8* PPI_PKT_FLAGS,uint16* PPI_PKT_LENGTHS,time* PPI_PKT_TIMES
10.0.42.155,10.0.42.10,66,52,1,2021-02-04T22:15:15.342243,2021-02-04T22:15:15.342892,52:54:00:40:74:8e,52:54:00:2d:18:d3,1,1,35472,4242,0,6,24,16,[1|-1],[24|16],[14|0],[2021-02-04T22:15:15.342243|2021-02-04T22:15:15.342892]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T22:15:45.352798,2021-02-04T22:15:45.354539,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,35472,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T22:15:45.352798|2021-02-04T22:15:45.353485|2021-02-04T22:15:45.354539]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T22:16:45.378033,2021-02-04T22:16:45.379250,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,35472,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T22:16:45.378033|2021-02-04T22:16:45.378495|2021-02-04T22:16:45.379250]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T22:17:45.403412,2021-02-04T22:17:45.404504,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,35472,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T22:17:45.403412|2021-02-04T22:17:45.403808|2021-02-04T22:17:45.404504]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T22:18:45.428696,2021-02-04T22:18:45.429887,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,35472,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T22:18:45.428696|2021-02-04T22:18:45.429157|2021-02-04T22:18:45.429887]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T22:19:45.453678,2021-02-04T22:19:45.454655,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,35472,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T22:19:45.453678|2021-02-04T22:19:45.454092|2021-02-04T22:19:45.454655]
