ipaddr DST_IP,ipaddr SRC_IP,uint64 BYTES,uint64 BYTES_REV,uint64 LINK_BIT_FIELD,time TIME_FIRST,time TIME_LAST,macaddr DST_MAC,macaddr SRC_MAC,uint32 PACKETS,uint32 PACKETS_REV,uint16 DST_PORT,uint16 SRC_PORT,uint8 DIR_BIT_FIELD,uint8 PROTOCOL,uint8 TCP_FLAGS,uint8 TCP_FLAGS_REV,int8* PPI_PKT_DIRECTIONS,uint8* PPI_PKT_FLAGS,uint16* PPI_PKT_LENGTHS,time* PPI_PKT_TIMES
10.0.42.155,10.0.42.10,235,208,1,2021-02-05T00:48:44.793537,2021-02-05T00:48:56.365207,52:54:00:40:74:8e,52:54:00:2d:18:d3,4,4,40244,4242,0,6,24,16,[1|-1|1|1|1],[24|16|24|24|24],[4|0|1|21|1],[2021-02-05T00:48:44.793537|2021-02-05T00:48:44.794149|2021-02-05T00:48:44.794476|2021-02-05T00:48:56.364095|2021-02-05T00:48:56.364737]
10.0.42.155,10.0.42.10,109,104,1,2021-02-05T00:49:44.804007,2021-02-05T00:49:44.805048,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,40244,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-05T00:49:44.804007|2021-02-05T00:49:44.804560|2021-02-05T00:49:44.804691]
10.0.42.155,10.0.42.10,109,104,1,2021-02-05T00:50:44.813730,2021-02-05T00:50:44.814823,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,40244,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-05T00:50:44.813730|2021-02-05T00:50:44.814243|2021-02-05T00:50:44.814407]
10.0.42.155,10.0.42.10,109,104,1,2021-02-05T00:51:44.824093,2021-02-05T00:51:44.824851,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,40244,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-05T00:51:44.824093|2021-02-05T00:51:44.824487|2021-02-05T00:51:44.824575]
10.0.42.155,10.0.42.10,109,104,1,2021-02-05T00:52:44.830842,2021-02-05T00:52:44.831437,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,40244,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-05T00:52:44.830842|2021-02-05T00:52:44.831121|2021-02-05T00:52:44.831263]
10.0.42.155,10.0.42.10,109,104,1,2021-02-05T00:53:44.834753,2021-02-05T00:53:44.835915,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,40244,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-05T00:53:44.834753|2021-02-05T00:53:44.835279|2021-02-05T00:53:44.835428]
