ipaddr DST_IP,ipaddr SRC_IP,uint64 BYTES,uint64 BYTES_REV,uint64 LINK_BIT_FIELD,time TIME_FIRST,time TIME_LAST,macaddr DST_MAC,macaddr SRC_MAC,uint32 PACKETS,uint32 PACKETS_REV,uint16 DST_PORT,uint16 SRC_PORT,uint8 DIR_BIT_FIELD,uint8 PROTOCOL,uint8 TCP_FLAGS,uint8 TCP_FLAGS_REV,int8* PPI_PKT_DIRECTIONS,uint8* PPI_PKT_FLAGS,uint16* PPI_PKT_LENGTHS,time* PPI_PKT_TIMES
10.0.42.155,10.0.42.10,246,208,1,2021-02-05T00:41:38.035020,2021-02-05T00:41:43.088316,52:54:00:40:74:8e,52:54:00:2d:18:d3,4,4,40242,4242,0,6,24,16,[1|-1|1|1|1],[24|16|24|24|24],[4|0|1|32|1],[2021-02-05T00:41:38.035020|2021-02-05T00:41:38.035550|2021-02-05T00:41:38.035748|2021-02-05T00:41:43.086879|2021-02-05T00:41:43.087612]
10.0.42.155,10.0.42.10,109,104,1,2021-02-05T00:42:38.044525,2021-02-05T00:42:38.045224,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,40242,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-05T00:42:38.044525|2021-02-05T00:42:38.044905|2021-02-05T00:42:38.044991]
10.0.42.155,10.0.42.10,109,104,1,2021-02-05T00:43:38.049866,2021-02-05T00:43:38.051027,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,40242,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-05T00:43:38.049866|2021-02-05T00:43:38.050392|2021-02-05T00:43:38.050545]
10.0.42.155,10.0.42.10,109,104,1,2021-02-05T00:44:38.059514,2021-02-05T00:44:38.060534,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,40242,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-05T00:44:38.059514|2021-02-05T00:44:38.059965|2021-02-05T00:44:38.060123]
10.0.42.155,10.0.42.10,109,104,1,2021-02-05T00:45:38.069068,2021-02-05T00:45:38.070321,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,40242,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-05T00:45:38.069068|2021-02-05T00:45:38.069671|2021-02-05T00:45:38.069809]
